Unnamed: 0,Unnamed: 1,MATTR,Unnamed: 3,Burrows_Delta,Unnamed: 5,MLS,Unnamed: 7,Hapax_Ratio,Unnamed: 9,Mean_Word_Len,Unnamed: 11,Lex_Density,Unnamed: 13
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Tradition,Type,,,,,,,,,,,,
Persian,GPT-4o,0.58,0.027,2.689,0.114,14.567,0.536,32.144,2.416,4.4,0.087,0.586,0.024
,Human,0.857,0.015,0,0,25.033,1.201,58.933,1.358,5.1,0.1,0.753,0.015
Postcolonial,GPT-4o,0.663,0.027,1.167,0.07,15.878,0.574,41.067,1.494,4.5,0.087,0.624,0.017
,Human,0.813,0.015,0,0,18.5,0.7,53.167,1.35,4.8,0.1,0.713,0.015
Western,GPT-4o,0.74,0.017,0.428,0.035,12.567,0.93,46.944,0.907,4.233,0.158,0.639,0.019
,Human,0.763,0.015,0,0,12.833,1.234,48.5,0.7,4.267,0.208,0.663,0.015
